Round / Page,Location,English source,Draft Spanish,Register,Constraint,Notes
R78 — Landing page (casewhy.com/es),Page <title>,CaseWhy — Know what's happening with your USCIS case,CaseWhy — Entiende qué pasa con tu caso de USCIS,tú,SEO title tag,Imperative 'Entiende' + possessive 'tu caso' are informal (tú). Usted equivalent: 'Entérese de qué pasa con su caso de USCIS.'
R78 — Landing page (casewhy.com/es),Meta description,"Your USCIS case, explained! CaseWhy tracks your USCIS case and explains, in plain English, what changed and what to do about it.","¡Tu caso de USCIS, explicado! CaseWhy monitorea tu caso de USCIS y te explica, en español sencillo, qué cambió y qué hacer al respecto.",tú,SEO meta description,'tu caso' / 'te explica' informal.
R78 — Landing page (casewhy.com/es),Logo tagline,"Your USCIS case, explained!","Tu caso de USCIS, explicado",tú,"Single-line, fits under logo lockup",
R78 — Landing page (casewhy.com/es),Nav: How it works,How it works,Cómo funciona,neutral,Single-line nav item,
R78 — Landing page (casewhy.com/es),Nav: Privacy,Privacy,Privacidad,neutral,Single-line nav item,
R78 — Landing page (casewhy.com/es),Nav: Join waitlist,Join the waitlist,Únete a la lista de espera,tú,Single-line nav item,Imperative 'Únete' informal; usted = 'Únase a la lista de espera.'
R78 — Landing page (casewhy.com/es),Header: Get Help link,Get Help,Obtener ayuda,neutral,Single-line nav item,"Infinitive phrase, register-neutral."
R78 — Landing page (casewhy.com/es),Header: Sign in link,Sign in,Iniciar sesión,neutral,Single-line nav item,"Infinitive phrase, register-neutral."
R78 — Landing page (casewhy.com/es),Header: language switcher,Español (on EN page) / English (on ES page),English (on ES page) / Español (on EN page),neutral,Single-line nav item,"Language names, not translated content per se."
R78 — Landing page (casewhy.com/es),Hero eyebrow,"Coming soon — built and tested, waiting on final USCIS approval","Próximamente — construido y probado, a la espera de la aprobación final de USCIS",neutral,"Pill badge, short",
R78 — Landing page (casewhy.com/es),Hero H1,Know what's happening. Know what to do next.,Entérate de qué está pasando. Entérate de qué hacer después.,tú,"Two-line headline, clamp(2rem,4.5vw,3.1rem)",Reflexive imperative 'Entérate' is tú-form; usted = 'Entérese.'
